G;GS;MPG ;FG%;3p%;FT%;OFF ;DEF ;RPG ;APG ;SPG ;BPG ;TO ;PF ;PPG ;Class
51;28;175;447;150;872;2;12;13;33;6;1;12;17;58;1
211;209;340;393;345;811;7;29;35;54;14;3;23;21;168;1
47;0;85;458;400;679;3;8;10;12;2;0;9;9;33;1
831;761;367;444;368;797;10;32;42;44;10;2;22;19;178;1
144;127;246;398;341;698;5;24;29;14;6;7;11;19;77;1
511;138;168;447;354;748;4;14;19;9;5;3;9;21;60;1
51;1;77;364;83;796;3;11;14;12;3;2;8;7;25;1
498;83;183;401;402;855;4;18;22;6;4;4;4;15;60;1
29;1;91;314;200;647;2;7;9;12;2;1;4;6;20;1
2;0;290;417;500;0;5;30;35;15;10;0;15;35;60;1
1315;1302;366;401;349;784;13;51;64;90;20;3;30;19;130;1
389;62;201;441;337;759;10;27;36;8;4;2;10;22;88;1
66;60;322;415;380;759;5;27;32;38;7;2;26;23;128;1
664;110;242;431;413;877;3;25;28;16;7;3;10;22;95;1
206;100;269;499;388;785;8;19;27;48;10;1;18;15;120;1
287;135;272;439;386;832;5;22;28;14;10;3;10;17;100;1
19;0;128;390;200;824;5;9;14;16;4;2;9;12;33;1
64;39;240;493;376;773;16;35;51;11;13;4;7;14;79;1
10;0;45;357;0;444;6;3;9;5;2;2;2;4;14;1
17;0;68;480;0;474;4;5;9;3;4;0;6;4;19;1
64;25;191;437;313;793;5;17;22;40;14;3;22;17;92;1
324;106;226;460;231;778;6;19;26;35;7;4;16;20;68;1
359;139;269;420;330;783;8;26;35;48;11;2;18;24;104;1
111;2;110;398;344;811;3;8;11;14;4;0;6;8;50;1
64;0;122;400;286;712;2;13;14;20;4;0;8;8;36;1
475;387;313;443;377;865;6;28;35;21;9;1;18;20;184;1
230;170;305;445;393;844;7;23;29;17;11;2;13;22;129;1
172;2;151;408;353;733;3;12;15;31;5;1;10;13;45;1
301;181;328;433;375;817;6;27;33;27;11;3;21;21;152;1
200;114;221;411;371;884;2;19;22;9;6;1;6;12;81;1
389;159;193;419;329;787;5;17;22;13;7;3;9;23;84;1
1044;922;339;458;205;807;12;29;40;72;13;2;26;24;141;1
90;3;120;432;378;797;3;6;9;17;4;0;10;9;60;1
38;0;87;381;378;1000;1;8;9;9;3;1;6;9;29;1
19;0;89;429;444;667;1;7;8;11;1;0;10;8;24;1
256;119;274;451;426;897;8;21;30;12;6;2;10;20;121;1
1152;993;314;491;428;904;5;25;30;86;8;1;29;16;145;1
136;8;213;445;419;798;2;21;23;16;4;0;10;16;99;1
527;432;282;456;388;808;5;25;30;50;9;1;22;26;124;1
429;18;154;390;354;866;2;13;15;20;5;1;11;14;65;1
44;5;96;333;263;593;3;6;8;13;3;0;10;10;29;1
494;423;278;444;404;794;5;27;32;23;9;2;10;16;91;1
806;793;329;492;310;738;4;26;30;59;10;1;25;18;168;1
485;485;370;472;361;854;7;37;45;98;24;1;24;25;188;1
528;141;158;406;349;679;3;14;18;9;5;2;8;18;51;1
538;156;215;427;357;665;8;23;31;8;7;4;10;23;84;1
150;3;149;375;309;743;3;12;15;20;6;0;10;10;60;1
355;33;115;389;304;729;3;8;11;14;6;1;8;15;36;1
629;429;320;447;380;838;10;28;38;21;9;1;15;16;190;1
346;41;205;427;400;876;2;16;17;16;4;0;8;13;84;1
805;794;346;441;372;708;12;38;50;27;12;4;18;23;175;1
640;397;271;431;357;868;5;19;24;49;11;2;17;22;99;1
448;81;230;425;354;798;7;18;25;28;9;1;14;25;112;1
437;384;326;481;241;619;11;33;44;81;19;1;27;22;108;1
279;278;368;464;310;815;10;29;38;68;9;4;29;15;210;1
41;31;342;357;340;803;5;37;42;82;22;2;32;24;106;1
289;105;269;439;413;720;5;31;36;11;6;7;11;16;91;1
28;0;128;347;308;636;3;7;9;21;6;0;12;10;30;1
720;349;269;440;363;802;5;25;31;25;9;3;14;19;100;1
409;265;222;438;322;730;7;30;37;15;10;5;10;18;54;1
28;0;84;347;133;786;1;5;5;11;2;0;10;6;23;1
323;108;254;449;333;787;6;25;31;50;8;1;20;16;111;1
59;35;289;401;306;798;7;24;32;28;17;1;19;29;95;1
2;0;190;267;167;667;10;10;20;15;0;0;15;25;55;1
33;11;203;399;80;767;5;15;20;32;4;1;15;11;55;1
69;4;98;378;316;613;2;10;12;17;5;1;7;8;25;1
538;130;242;427;369;740;5;24;29;20;10;2;15;21;125;1
44;4;123;372;289;714;4;9;13;14;4;1;10;12;38;1
54;1;103;366;114;613;2;11;13;12;5;1;10;8;26;1
22;2;81;419;182;727;2;9;11;17;4;3;5;8;16;1
